"Variable","Overall","Cancer_No","Cancer_Yes","p_value"
"N","309","39","270",""
"AGE (mean ± SD)","62.7 ± 8.2","60.7 ± 9.6","63.0 ± 8.0","0.1785"
"GENDER (Yes, n%)","0 (0.0%)","0 (0.0%)","0 (0.0%)","0.2371"
"SMOKING (Yes, n%)","174 (56.3%)","19 (48.7%)","155 (57.4%)","0.3065"
"YELLOW_FINGERS (Yes, n%)","176 (57.0%)","13 (33.3%)","163 (60.4%)","0.0014"
"ANXIETY (Yes, n%)","154 (49.8%)","12 (30.8%)","142 (52.6%)","0.0108"
"PEER_PRESSURE (Yes, n%)","155 (50.2%)","10 (25.6%)","145 (53.7%)","0.0011"
"CHRONIC_DISEASE (Yes, n%)","156 (50.5%)","14 (35.9%)","142 (52.6%)","0.0513"
"FATIGUE (Yes, n%)","208 (67.3%)","19 (48.7%)","189 (70.0%)","0.0081"
"ALLERGY (Yes, n%)","172 (55.7%)","5 (12.8%)","167 (61.9%)","<0.001"
"WHEEZING (Yes, n%)","172 (55.7%)","9 (23.1%)","163 (60.4%)","<0.001"
"ALCOHOL_CONSUMING (Yes, n%)","172 (55.7%)","7 (17.9%)","165 (61.1%)","<0.001"
"COUGHING (Yes, n%)","179 (57.9%)","10 (25.6%)","169 (62.6%)","<0.001"
"SHORTNESS_OF_BREATH (Yes, n%)","198 (64.1%)","22 (56.4%)","176 (65.2%)","0.2857"
"SWALLOWING_DIFFICULTY (Yes, n%)","145 (46.9%)","5 (12.8%)","140 (51.9%)","<0.001"
"CHEST_PAIN (Yes, n%)","172 (55.7%)","12 (30.8%)","160 (59.3%)","<0.001"
