"Variable","OR","CI_low","CI_up","p_value"
"AGE",1.03232806438645,0.991632559225588,1.07470165175018,0.117890065532551
"GENDER (Male)",1.50117646159867,0.765598173117081,2.98911482111061,0.239265051139202
"SMOKING",1.41876429875623,0.72221093082068,2.79644549613772,0.308089880054185
"YELLOW_FINGERS",3.04672897195624,1.52478513063054,6.36530984878958,0.00207251740772177
"ANXIETY",2.49609374999874,1.2396061349988,5.30348507844546,0.0128644756651843
"PEER_PRESSURE",3.36399999983164,1.62658771272375,7.51373700928582,0.00169640391871891
"CHRONIC_DISEASE",1.98102678571427,1.00007018222923,4.06875311741576,0.0543914023972744
"FATIGUE",2.45614035087717,1.24215285235762,4.87704116056613,0.0095665617999835
"ALLERGY",11.0252427182861,4.54828943930469,32.9638300613669,1.24682282315247e-06
"WHEEZING",5.07788160588244,2.40696384453585,11.7446340448177,4.83858418159688e-05
"ALCOHOL_CONSUMING",7.18367260198747,3.23152185275142,18.2643166643732,5.95002327878159e-06
"COUGHING",4.85247524329422,2.34094167534994,10.8623997495298,4.61737899127877e-05
"SHORTNESS_OF_BREATH",1.4468085084715,0.724144947317101,2.84988595051624,0.287503614410366
"SWALLOWING_DIFFICULTY",7.32307692307404,3.02660263707174,21.8641439376574,5.60892234144647e-05
"CHEST_PAIN",3.27272727269938,1.62335261683685,6.96267687305042,0.0012890985531191
